trade_id,instrument,symbol,underlying,instrument_type,option_type,strike,expiry,quantity,entry_time,exit_time,entry_price,exit_price,pnl,holding_seconds,holding_minutes
1,BANKNIFTY22112442600CE,BANKNIFTY22112442600CE,BANKNIFTY,OPTION,CE,42600,2022-11-24,1,2022-11-18 09:15:00,2022-11-18 09:19:38,294.0,274.8,-19.19999999999999,278.0,4.633333333333334
2,BANKNIFTY22112442600PE,BANKNIFTY22112442600PE,BANKNIFTY,OPTION,PE,42600,2022-11-24,1,2022-11-18 09:15:00,2022-11-18 09:19:38,322.6,328.95,6.349999999999966,278.0,4.633333333333334
3,NIFTY22112418400CE,NIFTY22112418400CE,NIFTY,OPTION,CE,18400,2022-11-24,1,2022-11-18 09:15:00,2022-11-18 09:21:20,114.65,96.2,-18.450000000000003,380.0,6.333333333333333
4,NIFTY22112418400PE,NIFTY22112418400PE,NIFTY,OPTION,PE,18400,2022-11-24,1,2022-11-18 09:15:00,2022-11-18 09:21:20,106.75,123.65,16.900000000000006,380.0,6.333333333333333
5,NIFTY22112418350CE,NIFTY22112418350CE,NIFTY,OPTION,CE,18350,2022-11-24,1,2022-11-18 09:21:20,2022-11-18 09:21:21,122.2,122.2,0.0,1.0,0.016666666666666666
6,NIFTY22112418350PE,NIFTY22112418350PE,NIFTY,OPTION,PE,18350,2022-11-24,1,2022-11-18 09:21:20,2022-11-18 09:21:21,99.4,100.0,0.5999999999999943,1.0,0.016666666666666666
7,NIFTY22112418400CE,NIFTY22112418400CE,NIFTY,OPTION,CE,18400,2022-11-24,1,2022-11-18 09:21:21,2022-11-18 09:21:22,96.0,96.15,0.15000000000000568,1.0,0.016666666666666666
8,NIFTY22112418400PE,NIFTY22112418400PE,NIFTY,OPTION,PE,18400,2022-11-24,1,2022-11-18 09:21:21,2022-11-18 09:21:22,123.85,124.3,0.45000000000000284,1.0,0.016666666666666666
9,NIFTY22112418350CE,NIFTY22112418350CE,NIFTY,OPTION,CE,18350,2022-11-24,1,2022-11-18 09:21:22,2022-11-18 09:23:56,122.2,123.8,1.5999999999999943,154.0,2.566666666666667
10,NIFTY22112418350PE,NIFTY22112418350PE,NIFTY,OPTION,PE,18350,2022-11-24,1,2022-11-18 09:21:22,2022-11-18 09:23:56,100.6,98.8,-1.7999999999999972,154.0,2.566666666666667
11,NIFTY22112418400CE,NIFTY22112418400CE,NIFTY,OPTION,CE,18400,2022-11-24,1,2022-11-18 09:23:56,2022-11-18 09:23:57,97.3,97.4,0.10000000000000853,1.0,0.016666666666666666
12,NIFTY22112418400PE,NIFTY22112418400PE,NIFTY,OPTION,PE,18400,2022-11-24,1,2022-11-18 09:23:56,2022-11-18 09:23:57,122.15,122.15,0.0,1.0,0.016666666666666666
13,NIFTY22112418350CE,NIFTY22112418350CE,NIFTY,OPTION,CE,18350,2022-11-24,1,2022-11-18 09:23:57,2022-11-18 09:23:58,123.75,123.2,-0.5499999999999972,1.0,0.016666666666666666
14,NIFTY22112418350PE,NIFTY22112418350PE,NIFTY,OPTION,PE,18350,2022-11-24,1,2022-11-18 09:23:57,2022-11-18 09:23:58,99.0,99.8,0.7999999999999972,1.0,0.016666666666666666
15,NIFTY22112418400CE,NIFTY22112418400CE,NIFTY,OPTION,CE,18400,2022-11-24,1,2022-11-18 09:23:58,2022-11-18 09:24:03,96.9,97.1,0.19999999999998863,5.0,0.08333333333333333
16,NIFTY22112418400PE,NIFTY22112418400PE,NIFTY,OPTION,PE,18400,2022-11-24,1,2022-11-18 09:23:58,2022-11-18 09:24:03,123.1,121.7,-1.3999999999999915,5.0,0.08333333333333333
17,NIFTY22112418350CE,NIFTY22112418350CE,NIFTY,OPTION,CE,18350,2022-11-24,1,2022-11-18 09:24:03,2022-11-18 09:24:04,123.3,124.0,0.7000000000000028,1.0,0.016666666666666666
18,NIFTY22112418350PE,NIFTY22112418350PE,NIFTY,OPTION,PE,18350,2022-11-24,1,2022-11-18 09:24:03,2022-11-18 09:24:04,98.5,98.2,-0.29999999999999716,1.0,0.016666666666666666
19,NIFTY22112418400CE,NIFTY22112418400CE,NIFTY,OPTION,CE,18400,2022-11-24,1,2022-11-18 09:24:04,2022-11-18 09:24:58,97.4,96.3,-1.1000000000000085,54.0,0.9
20,NIFTY22112418400PE,NIFTY22112418400PE,NIFTY,OPTION,PE,18400,2022-11-24,1,2022-11-18 09:24:04,2022-11-18 09:24:58,121.65,122.75,1.0999999999999943,54.0,0.9
21,NIFTY22112418350CE,NIFTY22112418350CE,NIFTY,OPTION,CE,18350,2022-11-24,1,2022-11-18 09:24:58,2022-11-18 09:25:01,122.95,121.85,-1.1000000000000085,3.0,0.05
22,NIFTY22112418350PE,NIFTY22112418350PE,NIFTY,OPTION,PE,18350,2022-11-24,1,2022-11-18 09:24:58,2022-11-18 09:25:01,99.25,99.8,0.5499999999999972,3.0,0.05
23,NIFTY22112418400CE,NIFTY22112418400CE,NIFTY,OPTION,CE,18400,2022-11-24,1,2022-11-18 09:25:01,2022-11-18 09:25:02,95.35,95.35,0.0,1.0,0.016666666666666666
24,NIFTY22112418400PE,NIFTY22112418400PE,NIFTY,OPTION,PE,18400,2022-11-24,1,2022-11-18 09:25:01,2022-11-18 09:25:02,122.85,123.55,0.7000000000000028,1.0,0.016666666666666666
25,BANKNIFTY22112442500CE,BANKNIFTY22112442500CE,BANKNIFTY,OPTION,CE,42500,2022-11-24,1,2022-11-18 09:19:38,2022-11-18 09:45:00,325.6,323.7,-1.900000000000034,1522.0,25.366666666666667
26,BANKNIFTY22112442500PE,BANKNIFTY22112442500PE,BANKNIFTY,OPTION,PE,42500,2022-11-24,1,2022-11-18 09:19:38,2022-11-18 09:45:00,282.45,278.25,-4.199999999999989,1522.0,25.366666666666667
27,BANKNIFTY22112442600CE,BANKNIFTY22112442600CE,BANKNIFTY,OPTION,CE,42600,2022-11-24,1,2022-11-18 09:45:00,2022-11-18 09:45:03,272.05,270.3,-1.75,3.0,0.05
28,BANKNIFTY22112442600PE,BANKNIFTY22112442600PE,BANKNIFTY,OPTION,PE,42600,2022-11-24,1,2022-11-18 09:45:00,2022-11-18 09:45:03,325.5,328.4,2.8999999999999773,3.0,0.05
29,BANKNIFTY22112442500CE,BANKNIFTY22112442500CE,BANKNIFTY,OPTION,CE,42500,2022-11-24,1,2022-11-18 09:45:03,2022-11-18 09:45:07,323.15,323.45,0.30000000000001137,4.0,0.06666666666666667
30,BANKNIFTY22112442500PE,BANKNIFTY22112442500PE,BANKNIFTY,OPTION,PE,42500,2022-11-24,1,2022-11-18 09:45:03,2022-11-18 09:45:07,280.75,281.4,0.6499999999999773,4.0,0.06666666666666667
31,BANKNIFTY22112442600CE,BANKNIFTY22112442600CE,BANKNIFTY,OPTION,CE,42600,2022-11-24,1,2022-11-18 09:45:07,2022-11-18 09:45:09,269.3,270.2,0.8999999999999773,2.0,0.03333333333333333
32,BANKNIFTY22112442600PE,BANKNIFTY22112442600PE,BANKNIFTY,OPTION,PE,42600,2022-11-24,1,2022-11-18 09:45:07,2022-11-18 09:45:09,328.75,329.55,0.8000000000000114,2.0,0.03333333333333333
33,BANKNIFTY22112442500CE,BANKNIFTY22112442500CE,BANKNIFTY,OPTION,CE,42500,2022-11-24,1,2022-11-18 09:45:09,2022-11-18 09:45:32,322.25,324.95,2.6999999999999886,23.0,0.38333333333333336
34,BANKNIFTY22112442500PE,BANKNIFTY22112442500PE,BANKNIFTY,OPTION,PE,42500,2022-11-24,1,2022-11-18 09:45:09,2022-11-18 09:45:32,281.15,280.65,-0.5,23.0,0.38333333333333336
35,BANKNIFTY22112442600CE,BANKNIFTY22112442600CE,BANKNIFTY,OPTION,CE,42600,2022-11-24,1,2022-11-18 09:45:32,2022-11-18 09:50:49,271.65,272.65,1.0,317.0,5.283333333333333
36,BANKNIFTY22112442600PE,BANKNIFTY22112442600PE,BANKNIFTY,OPTION,PE,42600,2022-11-24,1,2022-11-18 09:45:32,2022-11-18 09:50:49,328.05,326.6,-1.4499999999999886,317.0,5.283333333333333
37,BANKNIFTY22112442500CE,BANKNIFTY22112442500CE,BANKNIFTY,OPTION,CE,42500,2022-11-24,1,2022-11-18 09:50:49,2022-11-18 09:50:55,324.05,324.6,0.5500000000000114,6.0,0.1
38,BANKNIFTY22112442500PE,BANKNIFTY22112442500PE,BANKNIFTY,OPTION,PE,42500,2022-11-24,1,2022-11-18 09:50:49,2022-11-18 09:50:55,279.45,279.6,0.1500000000000341,6.0,0.1
39,BANKNIFTY22112442600CE,BANKNIFTY22112442600CE,BANKNIFTY,OPTION,CE,42600,2022-11-24,1,2022-11-18 09:50:55,2022-11-18 09:53:24,271.95,273.3,1.3500000000000227,149.0,2.4833333333333334
40,BANKNIFTY22112442600PE,BANKNIFTY22112442600PE,BANKNIFTY,OPTION,PE,42600,2022-11-24,1,2022-11-18 09:50:55,2022-11-18 09:53:24,326.3,327.75,1.4499999999999886,149.0,2.4833333333333334
41,BANKNIFTY22112442500CE,BANKNIFTY22112442500CE,BANKNIFTY,OPTION,CE,42500,2022-11-24,1,2022-11-18 09:53:24,2022-11-18 09:53:27,326.55,326.95,0.39999999999997726,3.0,0.05
42,BANKNIFTY22112442500PE,BANKNIFTY22112442500PE,BANKNIFTY,OPTION,PE,42500,2022-11-24,1,2022-11-18 09:53:24,2022-11-18 09:53:27,280.5,280.2,-0.30000000000001137,3.0,0.05
43,BANKNIFTY22112442600CE,BANKNIFTY22112442600CE,BANKNIFTY,OPTION,CE,42600,2022-11-24,1,2022-11-18 09:53:27,2022-11-18 09:55:02,273.4,271.0,-2.3999999999999773,95.0,1.5833333333333333
44,BANKNIFTY22112442600PE,BANKNIFTY22112442600PE,BANKNIFTY,OPTION,PE,42600,2022-11-24,1,2022-11-18 09:53:27,2022-11-18 09:55:02,327.7,325.25,-2.4499999999999886,95.0,1.5833333333333333
45,NIFTY22112418350CE,NIFTY22112418350CE,NIFTY,OPTION,CE,18350,2022-11-24,1,2022-11-18 09:25:02,2022-11-18 10:37:11,121.25,100.1,-21.150000000000006,4329.0,72.15
46,NIFTY22112418350PE,NIFTY22112418350PE,NIFTY,OPTION,PE,18350,2022-11-24,1,2022-11-18 09:25:02,2022-11-18 10:37:11,99.6,123.4,23.80000000000001,4329.0,72.15
47,BANKNIFTY22112442500CE,BANKNIFTY22112442500CE,BANKNIFTY,OPTION,CE,42500,2022-11-24,1,2022-11-18 09:55:02,2022-11-18 10:51:10,323.6,277.65,-45.950000000000045,3368.0,56.13333333333333
48,BANKNIFTY22112442500PE,BANKNIFTY22112442500PE,BANKNIFTY,OPTION,PE,42500,2022-11-24,1,2022-11-18 09:55:02,2022-11-18 10:51:10,278.2,348.0,69.80000000000001,3368.0,56.13333333333333
49,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 10:51:10,2022-11-18 11:12:17,332.25,278.0,-54.25,1267.0,21.116666666666667
50,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 10:51:10,2022-11-18 11:12:17,290.45,340.0,49.55000000000001,1267.0,21.116666666666667
51,NIFTY22112418300CE,NIFTY22112418300CE,NIFTY,OPTION,CE,18300,2022-11-24,1,2022-11-18 10:37:11,2022-11-18 11:14:30,127.0,104.05,-22.950000000000003,2239.0,37.31666666666667
52,NIFTY22112418300PE,NIFTY22112418300PE,NIFTY,OPTION,PE,18300,2022-11-24,1,2022-11-18 10:37:11,2022-11-18 11:14:30,99.9,130.0,30.099999999999994,2239.0,37.31666666666667
53,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 11:14:30,2022-11-18 11:14:40,131.5,131.55,0.05000000000001137,10.0,0.16666666666666666
54,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 11:14:30,2022-11-18 11:14:40,106.6,104.95,-1.6499999999999915,10.0,0.16666666666666666
55,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:12:17,2022-11-18 11:15:23,334.0,334.75,0.75,186.0,3.1
56,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:12:17,2022-11-18 11:15:23,289.5,290.65,1.1499999999999773,186.0,3.1
57,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:15:23,2022-11-18 11:15:25,282.0,281.7,-0.30000000000001137,2.0,0.03333333333333333
58,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:15:23,2022-11-18 11:15:25,337.75,339.0,1.25,2.0,0.03333333333333333
59,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:15:25,2022-11-18 11:15:38,334.35,334.9,0.5499999999999545,13.0,0.21666666666666667
60,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:15:25,2022-11-18 11:15:38,290.7,289.4,-1.3000000000000114,13.0,0.21666666666666667
61,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:15:38,2022-11-18 11:15:39,282.75,281.75,-1.0,1.0,0.016666666666666666
62,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:15:38,2022-11-18 11:15:39,337.7,338.2,0.5,1.0,0.016666666666666666
63,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:15:39,2022-11-18 11:15:55,334.0,334.65,0.6499999999999773,16.0,0.26666666666666666
64,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:15:39,2022-11-18 11:15:55,290.0,289.65,-0.35000000000002274,16.0,0.26666666666666666
65,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:15:55,2022-11-18 11:15:57,281.6,281.65,0.049999999999954525,2.0,0.03333333333333333
66,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:15:55,2022-11-18 11:15:57,338.3,338.3,0.0,2.0,0.03333333333333333
67,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:15:57,2022-11-18 11:20:44,333.75,336.7,2.9499999999999886,287.0,4.783333333333333
68,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:15:57,2022-11-18 11:20:44,289.95,290.0,0.05000000000001137,287.0,4.783333333333333
69,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:20:44,2022-11-18 11:21:11,283.6,284.0,0.39999999999997726,27.0,0.45
70,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:20:44,2022-11-18 11:21:11,337.25,336.3,-0.9499999999999886,27.0,0.45
71,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:21:11,2022-11-18 11:21:15,336.35,336.0,-0.35000000000002274,4.0,0.06666666666666667
72,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:21:11,2022-11-18 11:21:15,288.25,290.0,1.75,4.0,0.06666666666666667
73,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:21:15,2022-11-18 11:21:23,283.8,282.3,-1.5,8.0,0.13333333333333333
74,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:21:15,2022-11-18 11:21:23,337.0,339.6,2.6000000000000227,8.0,0.13333333333333333
75,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:21:23,2022-11-18 11:21:24,335.25,335.35,0.10000000000002274,1.0,0.016666666666666666
76,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:21:23,2022-11-18 11:21:24,291.15,291.5,0.35000000000002274,1.0,0.016666666666666666
77,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:21:24,2022-11-18 11:21:29,283.65,282.4,-1.25,5.0,0.08333333333333333
78,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:21:24,2022-11-18 11:21:29,338.5,338.9,0.39999999999997726,5.0,0.08333333333333333
79,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:21:29,2022-11-18 11:21:31,335.0,335.2,0.19999999999998863,2.0,0.03333333333333333
80,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:21:29,2022-11-18 11:21:31,291.2,290.3,-0.8999999999999773,2.0,0.03333333333333333
81,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:21:31,2022-11-18 11:22:00,282.95,284.5,1.5500000000000114,29.0,0.48333333333333334
82,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:21:31,2022-11-18 11:22:00,338.8,336.85,-1.9499999999999886,29.0,0.48333333333333334
83,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 11:22:00,2022-11-18 11:22:01,337.45,337.65,0.19999999999998863,1.0,0.016666666666666666
84,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 11:22:00,2022-11-18 11:22:01,289.0,288.1,-0.8999999999999773,1.0,0.016666666666666666
85,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 11:22:01,2022-11-18 13:43:14,285.85,277.2,-8.650000000000034,8473.0,141.21666666666667
86,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 11:22:01,2022-11-18 13:43:14,335.55,329.55,-6.0,8473.0,141.21666666666667
87,NIFTY22112418300CE,NIFTY22112418300CE,NIFTY,OPTION,CE,18300,2022-11-24,1,2022-11-18 11:14:40,2022-11-18 13:44:12,104.6,97.0,-7.599999999999994,8972.0,149.53333333333333
88,NIFTY22112418300PE,NIFTY22112418300PE,NIFTY,OPTION,PE,18300,2022-11-24,1,2022-11-18 11:14:40,2022-11-18 13:44:12,128.35,123.6,-4.75,8972.0,149.53333333333333
89,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 13:44:12,2022-11-18 13:44:37,123.6,125.6,2.0,25.0,0.4166666666666667
90,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 13:44:12,2022-11-18 13:44:37,100.1,97.95,-2.1499999999999915,25.0,0.4166666666666667
91,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 13:43:14,2022-11-18 13:44:40,329.35,328.5,-0.8500000000000227,86.0,1.4333333333333333
92,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 13:43:14,2022-11-18 13:44:40,280.9,280.9,0.0,86.0,1.4333333333333333
93,NIFTY22112418300CE,NIFTY22112418300CE,NIFTY,OPTION,CE,18300,2022-11-24,1,2022-11-18 13:44:37,2022-11-18 13:44:40,98.5,98.1,-0.4000000000000057,3.0,0.05
94,NIFTY22112418300PE,NIFTY22112418300PE,NIFTY,OPTION,PE,18300,2022-11-24,1,2022-11-18 13:44:37,2022-11-18 13:44:40,121.55,122.05,0.5,3.0,0.05
95,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 13:44:40,2022-11-18 13:44:42,125.15,124.9,-0.25,2.0,0.03333333333333333
96,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 13:44:40,2022-11-18 13:44:42,98.4,99.5,1.0999999999999943,2.0,0.03333333333333333
97,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 13:44:40,2022-11-18 13:44:43,276.55,275.4,-1.150000000000034,3.0,0.05
98,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 13:44:40,2022-11-18 13:44:43,329.35,329.95,0.5999999999999659,3.0,0.05
99,NIFTY22112418300CE,NIFTY22112418300CE,NIFTY,OPTION,CE,18300,2022-11-24,1,2022-11-18 13:44:42,2022-11-18 13:44:43,97.85,97.9,0.05000000000001137,1.0,0.016666666666666666
100,NIFTY22112418300PE,NIFTY22112418300PE,NIFTY,OPTION,PE,18300,2022-11-24,1,2022-11-18 13:44:42,2022-11-18 13:44:43,122.45,122.5,0.04999999999999716,1.0,0.016666666666666666
101,NIFTY22112418250CE,NIFTY22112418250CE,NIFTY,OPTION,CE,18250,2022-11-24,1,2022-11-18 13:44:43,2022-11-18 13:45:20,124.5,125.35,0.8499999999999943,37.0,0.6166666666666667
102,NIFTY22112418250PE,NIFTY22112418250PE,NIFTY,OPTION,PE,18250,2022-11-24,1,2022-11-18 13:44:43,2022-11-18 13:45:20,99.05,98.6,-0.45000000000000284,37.0,0.6166666666666667
103,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 13:44:43,2022-11-18 13:45:24,327.45,328.85,1.400000000000034,41.0,0.6833333333333333
104,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 13:44:43,2022-11-18 13:45:24,281.7,279.05,-2.6499999999999773,41.0,0.6833333333333333
105,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 13:45:24,2022-11-18 13:45:30,276.0,274.15,-1.8500000000000227,6.0,0.1
106,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 13:45:24,2022-11-18 13:45:30,328.95,330.6,1.650000000000034,6.0,0.1
107,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 13:45:30,2022-11-18 13:46:01,327.3,329.0,1.6999999999999886,31.0,0.5166666666666667
108,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 13:45:30,2022-11-18 13:46:01,282.3,280.75,-1.5500000000000114,31.0,0.5166666666666667
109,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 13:46:01,2022-11-18 13:46:02,276.55,277.0,0.44999999999998863,1.0,0.016666666666666666
110,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 13:46:01,2022-11-18 13:46:02,328.15,328.85,0.7000000000000455,1.0,0.016666666666666666
111,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 13:46:02,2022-11-18 13:46:08,328.75,329.15,0.39999999999997726,6.0,0.1
112,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 13:46:02,2022-11-18 13:46:08,280.5,279.95,-0.5500000000000114,6.0,0.1
113,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 13:46:08,2022-11-18 13:46:10,277.3,276.75,-0.5500000000000114,2.0,0.03333333333333333
114,BANKNIFTY22112442400PE,BANKNIFTY22112442400PE,BANKNIFTY,OPTION,PE,42400,2022-11-24,1,2022-11-18 13:46:08,2022-11-18 13:46:10,327.7,327.85,0.1500000000000341,2.0,0.03333333333333333
115,BANKNIFTY22112442300CE,BANKNIFTY22112442300CE,BANKNIFTY,OPTION,CE,42300,2022-11-24,1,2022-11-18 13:46:10,2022-11-18 13:46:11,329.5,328.9,-0.6000000000000227,1.0,0.016666666666666666
116,BANKNIFTY22112442300PE,BANKNIFTY22112442300PE,BANKNIFTY,OPTION,PE,42300,2022-11-24,1,2022-11-18 13:46:10,2022-11-18 13:46:11,280.75,281.5,0.75,1.0,0.016666666666666666
117,BANKNIFTY22112442400CE,BANKNIFTY22112442400CE,BANKNIFTY,OPTION,CE,42400,2022-11-24,1,2022-11-18 13:46:11,2022-11-18 13:46:13,276.05,276.7,0.6499999999999773,2.0,0.03333333333333333
